id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response,Snapshot_Date,Snapshot_Year,Snapshot_Month,Snapshot_Quarter,Customer_State,Customer_Region
31253,Male,20,1,46.0,1,< 1 Year,No,27324.0,160.0,291,0,2024-02-12,2024,2,Q1,Arizona,West
140844,Male,62,1,15.0,0,1-2 Year,Yes,35429.0,124.0,289,0,2024-08-04,2024,8,Q3,Arizona,West
53017,Female,64,1,48.0,0,> 2 Years,Yes,2630.0,15.0,204,0,2024-08-15,2024,8,Q3,Arizona,West
119952,Female,30,1,28.0,0,< 1 Year,Yes,41836.0,124.0,118,0,2024-01-25,2024,1,Q1,Arizona,West
20863,Male,55,1,12.0,0,1-2 Year,Yes,26767.0,124.0,237,0,2024-02-01,2024,2,Q1,Arizona,West
342262,Female,25,1,6.0,1,< 1 Year,No,2630.0,152.0,49,0,2024-12-07,2024,12,Q4,Arizona,West
312602,Male,24,1,8.0,1,< 1 Year,No,31657.0,160.0,197,0,2024-04-23,2024,4,Q2,Arizona,West
11132,Male,26,1,47.0,1,< 1 Year,No,33827.0,152.0,135,0,2024-11-25,2024,11,Q4,Arizona,West
189481,Female,54,1,8.0,0,1-2 Year,Yes,42925.0,154.0,33,0,2024-12-02,2024,12,Q4,Arizona,West
45374,Female,44,1,4.0,0,1-2 Year,Yes,2630.0,122.0,46,0,2024-06-10,2024,6,Q2,Arizona,West
203442,Male,53,1,28.0,0,1-2 Year,Yes,41794.0,124.0,215,0,2024-12-13,2024,12,Q4,Arizona,West
57824,Male,43,1,29.0,0,1-2 Year,Yes,26509.0,124.0,181,0,2024-03-29,2024,3,Q1,Arizona,West
5244,Male,22,1,8.0,1,< 1 Year,No,32615.0,152.0,135,0,2024-03-21,2024,3,Q1,Arizona,West
349432,Female,27,1,3.0,1,< 1 Year,No,2630.0,152.0,26,0,2024-08-24,2024,8,Q3,Arizona,West
106568,Female,30,1,15.0,1,< 1 Year,No,32106.0,152.0,127,0,2024-12-04,2024,12,Q4,Arizona,West
259377,Female,24,1,9.0,1,< 1 Year,No,36584.0,152.0,32,0,2024-04-22,2024,4,Q2,Arizona,West
93207,Female,50,1,28.0,0,1-2 Year,Yes,2630.0,13.0,158,0,2024-09-04,2024,9,Q3,Arizona,West
373038,Female,22,1,36.0,0,< 1 Year,Yes,31945.0,152.0,270,0,2024-07-09,2024,7,Q3,Arizona,West
2779,Male,43,1,28.0,1,1-2 Year,No,2630.0,26.0,137,0,2024-12-08,2024,12,Q4,Arizona,West
276931,Male,47,1,28.0,0,1-2 Year,Yes,45581.0,26.0,155,0,2024-05-18,2024,5,Q2,Arizona,West
225762,Female,64,1,46.0,0,1-2 Year,Yes,2630.0,124.0,122,0,2024-11-03,2024,11,Q4,Arizona,West
596,Male,66,1,14.0,0,1-2 Year,Yes,40223.0,124.0,200,0,2024-01-14,2024,1,Q1,Arizona,West
274279,Female,39,1,28.0,0,1-2 Year,Yes,35603.0,124.0,254,0,2024-07-03,2024,7,Q3,Arizona,West
334380,Female,60,1,50.0,1,1-2 Year,No,2630.0,30.0,299,0,2024-11-08,2024,11,Q4,Arizona,West
308376,Female,65,1,28.0,1,1-2 Year,No,2630.0,124.0,17,0,2024-02-09,2024,2,Q1,Arizona,West
53387,Male,43,1,50.0,1,1-2 Year,No,34009.0,8.0,62,0,2024-07-04,2024,7,Q3,Arizona,West
122677,Female,24,1,47.0,1,< 1 Year,No,35113.0,152.0,70,0,2024-01-30,2024,1,Q1,Arizona,West
274423,Female,30,1,30.0,1,< 1 Year,No,51607.0,152.0,194,0,2024-08-27,2024,8,Q3,Arizona,West
83923,Female,23,1,28.0,1,< 1 Year,No,48658.0,152.0,261,0,2024-12-20,2024,12,Q4,Arizona,West
215315,Female,36,1,28.0,0,1-2 Year,No,40220.0,157.0,231,0,2024-03-31,2024,3,Q1,Arizona,West
206453,Female,28,1,28.0,0,1-2 Year,Yes,24495.0,122.0,158,0,2024-01-26,2024,1,Q1,Arizona,West
227969,Female,24,1,8.0,1,< 1 Year,No,32018.0,152.0,127,0,2024-05-18,2024,5,Q2,Arizona,West
65768,Male,35,1,30.0,1,1-2 Year,No,2630.0,152.0,31,0,2024-07-13,2024,7,Q3,Arizona,West
147580,Male,75,1,27.0,1,1-2 Year,No,30283.0,26.0,124,0,2024-07-12,2024,7,Q3,Arizona,West
238633,Female,27,1,8.0,1,< 1 Year,No,25655.0,152.0,20,0,2024-06-13,2024,6,Q2,Arizona,West
166550,Female,24,1,26.0,1,< 1 Year,No,36675.0,152.0,139,0,2024-07-10,2024,7,Q3,Arizona,West
24490,Female,62,1,7.0,1,1-2 Year,No,37264.0,26.0,257,0,2024-12-08,2024,12,Q4,Arizona,West
85534,Male,49,1,37.0,0,1-2 Year,Yes,30390.0,124.0,169,0,2024-02-10,2024,2,Q1,Arizona,West
278476,Male,44,1,28.0,0,1-2 Year,Yes,40932.0,26.0,230,0,2024-03-15,2024,3,Q1,Arizona,West
192287,Male,64,1,28.0,0,1-2 Year,Yes,50637.0,52.0,109,0,2024-04-22,2024,4,Q2,Arizona,West
97593,Male,52,1,8.0,0,1-2 Year,Yes,2630.0,156.0,241,0,2024-05-16,2024,5,Q2,Arizona,West
313185,Female,38,1,8.0,0,1-2 Year,Yes,23875.0,124.0,282,0,2024-05-26,2024,5,Q2,Arizona,West
127228,Female,38,1,28.0,1,1-2 Year,No,2630.0,124.0,42,0,2024-12-25,2024,12,Q4,Arizona,West
330569,Female,28,1,37.0,1,< 1 Year,No,35406.0,151.0,11,0,2024-09-12,2024,9,Q3,Arizona,West
99374,Male,22,1,7.0,1,< 1 Year,No,38762.0,152.0,125,0,2024-09-20,2024,9,Q3,Arizona,West
213624,Female,48,1,8.0,1,1-2 Year,No,53618.0,7.0,227,0,2024-12-18,2024,12,Q4,Arizona,West
129805,Female,25,1,13.0,0,< 1 Year,Yes,23428.0,152.0,267,0,2024-09-25,2024,9,Q3,Arizona,West
222062,Female,21,1,2.0,0,< 1 Year,Yes,2630.0,152.0,119,0,2024-12-05,2024,12,Q4,Arizona,West
79509,Female,23,1,37.0,1,< 1 Year,No,45951.0,152.0,157,0,2024-05-21,2024,5,Q2,Arizona,West
60759,Female,22,1,50.0,1,< 1 Year,No,35561.0,152.0,188,0,2024-10-19,2024,10,Q4,Arizona,West
380647,Male,23,1,28.0,1,< 1 Year,No,49918.0,152.0,92,0,2024-11-05,2024,11,Q4,Arizona,West
231612,Male,68,1,6.0,1,1-2 Year,No,30648.0,124.0,16,0,2024-12-25,2024,12,Q4,Arizona,West
145981,Male,41,1,28.0,0,1-2 Year,Yes,41435.0,26.0,103,0,2024-04-16,2024,4,Q2,Arizona,West
210337,Female,59,1,28.0,0,1-2 Year,Yes,50541.0,55.0,35,0,2024-08-22,2024,8,Q3,Arizona,West
266801,Female,35,1,45.0,1,1-2 Year,No,2630.0,107.0,187,0,2024-01-30,2024,1,Q1,Arizona,West
20581,Female,75,1,41.0,1,1-2 Year,No,20926.0,26.0,52,0,2024-08-12,2024,8,Q3,Arizona,West
281446,Female,21,1,16.0,1,< 1 Year,No,31371.0,152.0,213,0,2024-03-04,2024,3,Q1,Arizona,West
39018,Female,30,1,28.0,0,1-2 Year,Yes,28996.0,157.0,238,0,2024-03-28,2024,3,Q1,Arizona,West
250563,Male,55,1,28.0,0,1-2 Year,Yes,53392.0,124.0,47,0,2024-10-18,2024,10,Q4,Arizona,West
2515,Male,70,1,8.0,0,1-2 Year,Yes,56061.0,19.0,187,0,2024-08-10,2024,8,Q3,Arizona,West
223892,Female,43,1,28.0,0,> 2 Years,Yes,49947.0,26.0,229,0,2024-09-20,2024,9,Q3,Arizona,West
354201,Female,54,1,28.0,0,1-2 Year,Yes,64764.0,26.0,97,0,2024-06-18,2024,6,Q2,Arizona,West
74165,Female,27,1,20.0,0,< 1 Year,Yes,2630.0,152.0,220,0,2024-10-25,2024,10,Q4,Arizona,West
131709,Female,27,1,27.0,0,< 1 Year,No,28316.0,152.0,35,0,2024-06-06,2024,6,Q2,Arizona,West
300049,Female,35,1,28.0,0,1-2 Year,Yes,46463.0,26.0,266,0,2024-04-11,2024,4,Q2,Arizona,West
379248,Male,46,1,41.0,1,1-2 Year,No,39080.0,124.0,11,0,2024-08-30,2024,8,Q3,Arizona,West
36855,Male,60,1,30.0,0,1-2 Year,Yes,30542.0,124.0,242,0,2024-09-26,2024,9,Q3,Arizona,West
144262,Male,53,1,28.0,0,1-2 Year,Yes,33443.0,124.0,240,0,2024-05-24,2024,5,Q2,Arizona,West
222657,Female,23,1,2.0,0,< 1 Year,No,29940.0,152.0,29,0,2024-04-23,2024,4,Q2,Arizona,West
307636,Male,66,1,8.0,0,1-2 Year,Yes,39647.0,26.0,145,0,2024-11-20,2024,11,Q4,Arizona,West
224955,Male,78,1,28.0,0,1-2 Year,Yes,51354.0,52.0,269,0,2024-06-19,2024,6,Q2,Arizona,West
214204,Male,32,1,28.0,1,< 1 Year,No,39078.0,152.0,75,0,2024-08-29,2024,8,Q3,Arizona,West
374113,Female,21,1,17.0,1,< 1 Year,No,51672.0,152.0,49,0,2024-08-02,2024,8,Q3,Arizona,West
338292,Male,45,1,6.0,0,1-2 Year,Yes,2630.0,156.0,236,0,2024-01-03,2024,1,Q1,Arizona,West
271732,Male,26,1,28.0,1,< 1 Year,No,28669.0,152.0,208,0,2024-04-24,2024,4,Q2,Arizona,West
160379,Male,61,1,28.0,0,> 2 Years,Yes,2630.0,158.0,98,0,2024-05-18,2024,5,Q2,Arizona,West
97969,Male,30,1,8.0,0,1-2 Year,Yes,30148.0,124.0,187,0,2024-10-14,2024,10,Q4,Arizona,West
57725,Female,21,1,38.0,0,< 1 Year,Yes,2630.0,160.0,27,0,2024-02-28,2024,2,Q1,Arizona,West
158939,Male,66,1,5.0,0,1-2 Year,Yes,23811.0,124.0,72,0,2024-09-26,2024,9,Q3,Arizona,West
99295,Female,50,1,28.0,0,1-2 Year,Yes,46222.0,122.0,295,0,2024-06-12,2024,6,Q2,Arizona,West
95830,Male,28,1,21.0,0,< 1 Year,Yes,2630.0,152.0,225,0,2024-04-26,2024,4,Q2,Arizona,West
244415,Female,25,1,7.0,0,< 1 Year,Yes,2630.0,152.0,167,0,2024-04-26,2024,4,Q2,Arizona,West
58777,Male,21,1,37.0,0,< 1 Year,Yes,21592.0,160.0,47,0,2024-03-04,2024,3,Q1,Arizona,West
151270,Female,25,1,37.0,1,< 1 Year,No,24453.0,152.0,145,0,2024-08-14,2024,8,Q3,Arizona,West
256490,Male,22,1,28.0,0,< 1 Year,Yes,49854.0,124.0,36,0,2024-02-21,2024,2,Q1,Arizona,West
12742,Male,63,1,19.0,0,> 2 Years,Yes,39458.0,124.0,132,0,2024-10-21,2024,10,Q4,Arizona,West
84056,Female,34,1,33.0,0,1-2 Year,Yes,30873.0,26.0,192,0,2024-04-14,2024,4,Q2,Arizona,West
201445,Female,83,1,28.0,1,1-2 Year,No,56442.0,26.0,87,0,2024-10-12,2024,10,Q4,Arizona,West
361087,Female,40,1,44.0,1,1-2 Year,No,27939.0,124.0,136,0,2024-11-28,2024,11,Q4,Arizona,West
91898,Female,47,1,41.0,0,> 2 Years,Yes,39137.0,26.0,84,0,2024-02-24,2024,2,Q1,Arizona,West
46268,Female,25,1,2.0,1,< 1 Year,No,2630.0,152.0,164,0,2024-03-16,2024,3,Q1,Arizona,West
28796,Female,69,1,8.0,0,1-2 Year,Yes,2630.0,26.0,225,0,2024-07-02,2024,7,Q3,Arizona,West
324338,Male,24,1,28.0,1,< 1 Year,No,28657.0,152.0,117,0,2024-03-31,2024,3,Q1,Arizona,West
247124,Female,23,1,6.0,1,< 1 Year,No,21511.0,152.0,246,0,2024-11-01,2024,11,Q4,Arizona,West
33281,Female,25,1,37.0,0,< 1 Year,Yes,40717.0,152.0,250,0,2024-05-21,2024,5,Q2,Arizona,West
332380,Male,48,1,46.0,0,1-2 Year,No,27913.0,11.0,201,0,2024-06-08,2024,6,Q2,Arizona,West
106000,Female,26,1,37.0,1,< 1 Year,No,39736.0,152.0,54,0,2024-06-06,2024,6,Q2,Arizona,West
38645,Female,59,1,28.0,1,1-2 Year,No,30640.0,26.0,146,0,2024-01-04,2024,1,Q1,Arizona,West
371947,Male,22,1,28.0,0,< 1 Year,Yes,44470.0,124.0,246,0,2024-02-16,2024,2,Q1,Arizona,West
102146,Male,29,1,50.0,0,< 1 Year,Yes,28438.0,152.0,243,0,2024-04-14,2024,4,Q2,Arizona,West
17138,Male,24,1,12.0,1,< 1 Year,No,23602.0,152.0,103,0,2024-11-23,2024,11,Q4,Arizona,West
323409,Male,36,1,28.0,0,1-2 Year,Yes,45426.0,152.0,36,0,2024-09-29,2024,9,Q3,Arizona,West
196987,Male,47,1,41.0,0,1-2 Year,No,27879.0,155.0,226,0,2024-09-11,2024,9,Q3,Arizona,West
88386,Female,51,1,47.0,0,1-2 Year,Yes,37353.0,152.0,80,0,2024-02-21,2024,2,Q1,Arizona,West
226862,Male,27,1,36.0,1,< 1 Year,No,50994.0,152.0,259,0,2024-06-13,2024,6,Q2,Arizona,West
381082,Female,75,1,28.0,1,1-2 Year,No,51619.0,26.0,80,0,2024-08-09,2024,8,Q3,Arizona,West
45750,Female,45,1,8.0,1,1-2 Year,No,50759.0,25.0,23,0,2024-09-18,2024,9,Q3,Arizona,West
310105,Female,26,1,28.0,1,< 1 Year,No,51935.0,152.0,43,0,2024-01-15,2024,1,Q1,Arizona,West
211609,Female,55,1,28.0,0,> 2 Years,Yes,43804.0,26.0,219,0,2024-11-01,2024,11,Q4,Arizona,West
70193,Male,51,1,28.0,0,1-2 Year,Yes,71473.0,26.0,253,0,2024-12-29,2024,12,Q4,Arizona,West
166539,Male,56,1,19.0,0,1-2 Year,Yes,27937.0,124.0,106,0,2024-06-27,2024,6,Q2,Arizona,West
34978,Female,26,1,11.0,1,< 1 Year,No,37145.0,152.0,73,0,2024-04-27,2024,4,Q2,Arizona,West
378809,Male,56,1,28.0,0,> 2 Years,Yes,27521.0,26.0,91,0,2024-11-23,2024,11,Q4,Arizona,West
375749,Male,25,1,41.0,1,< 1 Year,No,44190.0,152.0,102,0,2024-12-20,2024,12,Q4,Arizona,West
259855,Female,23,1,6.0,0,< 1 Year,Yes,22245.0,152.0,261,0,2024-12-05,2024,12,Q4,Arizona,West
84923,Female,47,1,15.0,0,1-2 Year,Yes,2630.0,124.0,132,0,2024-04-24,2024,4,Q2,Arizona,West
329274,Male,57,1,8.0,0,1-2 Year,Yes,72204.0,7.0,35,0,2024-12-06,2024,12,Q4,Arizona,West
56431,Male,42,1,18.0,1,1-2 Year,No,32134.0,124.0,242,0,2024-12-24,2024,12,Q4,Arizona,West
177910,Male,43,1,31.0,1,1-2 Year,No,2630.0,124.0,143,0,2024-11-19,2024,11,Q4,Arizona,West
210554,Female,24,1,50.0,1,< 1 Year,No,42571.0,151.0,259,0,2024-08-27,2024,8,Q3,Arizona,West
76349,Female,25,1,41.0,0,< 1 Year,Yes,2630.0,156.0,63,0,2024-03-15,2024,3,Q1,Arizona,West
376170,Male,34,1,15.0,1,1-2 Year,Yes,24018.0,156.0,17,0,2024-05-15,2024,5,Q2,Arizona,West
188672,Female,22,1,33.0,1,< 1 Year,No,34885.0,152.0,251,0,2024-02-20,2024,2,Q1,Arizona,West
146037,Male,32,1,14.0,0,1-2 Year,Yes,26694.0,124.0,37,0,2024-12-17,2024,12,Q4,Arizona,West
232752,Male,20,1,35.0,1,< 1 Year,No,30209.0,160.0,246,0,2024-06-23,2024,6,Q2,Arizona,West
157265,Male,37,1,25.0,0,1-2 Year,Yes,32337.0,26.0,215,0,2024-07-30,2024,7,Q3,Arizona,West
71404,Female,46,1,33.0,0,1-2 Year,Yes,29397.0,124.0,141,0,2024-07-18,2024,7,Q3,Arizona,West
69988,Male,27,1,8.0,0,< 1 Year,Yes,2630.0,152.0,86,0,2024-07-21,2024,7,Q3,Arizona,West
378455,Female,23,1,15.0,1,< 1 Year,No,28005.0,152.0,128,0,2024-07-07,2024,7,Q3,Arizona,West
14960,Female,20,1,12.0,0,< 1 Year,Yes,26686.0,160.0,268,0,2024-06-03,2024,6,Q2,Arizona,West
19791,Male,80,1,27.0,1,1-2 Year,No,2630.0,124.0,42,0,2024-11-21,2024,11,Q4,Arizona,West
254201,Male,50,1,28.0,0,> 2 Years,Yes,36202.0,26.0,132,0,2024-07-14,2024,7,Q3,Arizona,West
355970,Male,52,1,29.0,0,1-2 Year,Yes,27546.0,155.0,16,0,2024-01-29,2024,1,Q1,Arizona,West
348037,Female,46,1,40.0,1,1-2 Year,Yes,2630.0,156.0,238,0,2024-03-07,2024,3,Q1,Arizona,West
375864,Male,47,1,28.0,0,1-2 Year,Yes,33978.0,124.0,198,0,2024-10-22,2024,10,Q4,Arizona,West
247522,Male,23,1,37.0,0,< 1 Year,Yes,42978.0,152.0,259,0,2024-06-25,2024,6,Q2,Arizona,West
380814,Female,77,1,15.0,0,1-2 Year,Yes,39410.0,122.0,179,0,2024-02-14,2024,2,Q1,Arizona,West
239896,Female,35,1,15.0,0,1-2 Year,Yes,40545.0,124.0,188,0,2024-06-16,2024,6,Q2,Arizona,West
62155,Male,48,1,28.0,0,1-2 Year,Yes,35258.0,26.0,224,0,2024-03-20,2024,3,Q1,Arizona,West
118129,Male,28,1,23.0,0,1-2 Year,Yes,2630.0,156.0,88,0,2024-05-09,2024,5,Q2,Arizona,West
327032,Female,26,1,32.0,1,< 1 Year,No,2630.0,151.0,276,0,2024-10-10,2024,10,Q4,Arizona,West
142684,Male,22,1,36.0,1,< 1 Year,No,27137.0,152.0,42,0,2024-04-25,2024,4,Q2,Arizona,West
232414,Female,26,1,21.0,1,< 1 Year,No,24015.0,152.0,282,0,2024-04-25,2024,4,Q2,Arizona,West
39638,Male,22,1,35.0,1,< 1 Year,No,31815.0,152.0,140,0,2024-05-21,2024,5,Q2,Arizona,West
139560,Male,21,1,41.0,0,< 1 Year,Yes,2630.0,156.0,119,0,2024-11-06,2024,11,Q4,Arizona,West
144518,Male,26,1,8.0,1,< 1 Year,No,35123.0,152.0,37,0,2024-11-13,2024,11,Q4,Arizona,West
378555,Male,42,1,41.0,0,1-2 Year,Yes,47702.0,124.0,190,0,2024-12-17,2024,12,Q4,Arizona,West
73604,Female,22,1,4.0,0,< 1 Year,Yes,36006.0,152.0,129,0,2024-05-15,2024,5,Q2,Arizona,West
380927,Male,22,1,8.0,0,< 1 Year,Yes,37390.0,152.0,68,0,2024-08-19,2024,8,Q3,Arizona,West
47875,Female,22,1,30.0,1,< 1 Year,No,46201.0,152.0,291,0,2024-10-23,2024,10,Q4,Arizona,West
55945,Male,43,1,52.0,1,1-2 Year,No,33142.0,124.0,298,0,2024-01-31,2024,1,Q1,Arizona,West
145563,Male,27,1,41.0,1,< 1 Year,No,28157.0,152.0,185,0,2024-04-06,2024,4,Q2,Arizona,West
351966,Male,54,1,28.0,1,1-2 Year,No,26280.0,26.0,50,0,2024-12-18,2024,12,Q4,Arizona,West
36145,Male,66,1,46.0,1,1-2 Year,No,41964.0,124.0,118,0,2024-02-08,2024,2,Q1,Arizona,West
315737,Male,26,1,10.0,1,< 1 Year,No,19177.0,152.0,115,0,2024-01-19,2024,1,Q1,Arizona,West
143863,Female,26,1,3.0,1,< 1 Year,No,29881.0,152.0,220,0,2024-07-08,2024,7,Q3,Arizona,West
244742,Male,21,1,8.0,1,< 1 Year,No,39288.0,160.0,181,0,2024-01-18,2024,1,Q1,Arizona,West
24891,Male,57,1,38.0,0,1-2 Year,Yes,31695.0,26.0,159,0,2024-10-13,2024,10,Q4,Arizona,West
237814,Female,24,1,47.0,1,< 1 Year,No,2630.0,151.0,29,0,2024-01-13,2024,1,Q1,Arizona,West
13248,Female,31,1,30.0,1,< 1 Year,No,23669.0,152.0,276,0,2024-12-28,2024,12,Q4,Arizona,West
43112,Female,77,1,28.0,0,1-2 Year,Yes,25710.0,26.0,249,0,2024-12-15,2024,12,Q4,Arizona,West
310840,Male,31,1,28.0,0,1-2 Year,Yes,66191.0,26.0,202,0,2024-05-20,2024,5,Q2,Arizona,West
334258,Female,26,1,33.0,0,< 1 Year,Yes,2630.0,160.0,160,0,2024-12-25,2024,12,Q4,Arizona,West
154717,Female,22,1,33.0,1,< 1 Year,No,21176.0,152.0,174,0,2024-02-03,2024,2,Q1,Arizona,West
327881,Female,34,1,28.0,0,1-2 Year,Yes,31903.0,124.0,30,0,2024-04-16,2024,4,Q2,Arizona,West
345031,Male,36,1,33.0,0,1-2 Year,Yes,2630.0,156.0,271,0,2024-08-10,2024,8,Q3,Arizona,West
218380,Male,23,1,15.0,0,< 1 Year,Yes,2630.0,160.0,216,0,2024-09-05,2024,9,Q3,Arizona,West
204207,Female,21,1,45.0,1,< 1 Year,No,30110.0,152.0,136,0,2024-02-28,2024,2,Q1,Arizona,West
137223,Female,45,1,50.0,1,1-2 Year,No,29851.0,30.0,273,0,2024-03-22,2024,3,Q1,Arizona,West
328262,Male,22,1,29.0,1,< 1 Year,No,28015.0,152.0,114,0,2024-10-24,2024,10,Q4,Arizona,West
119424,Female,28,1,14.0,1,< 1 Year,No,23668.0,152.0,183,0,2024-08-24,2024,8,Q3,Arizona,West
188454,Male,50,1,46.0,0,1-2 Year,Yes,32811.0,11.0,71,0,2024-08-10,2024,8,Q3,Arizona,West
139679,Female,23,1,8.0,1,< 1 Year,No,38338.0,152.0,165,0,2024-07-02,2024,7,Q3,Arizona,West
38794,Male,50,1,28.0,1,1-2 Year,No,53176.0,124.0,125,0,2024-04-14,2024,4,Q2,Arizona,West
71389,Female,23,1,8.0,1,< 1 Year,No,50054.0,152.0,128,0,2024-10-28,2024,10,Q4,Arizona,West
41030,Female,24,1,6.0,1,< 1 Year,No,31060.0,152.0,269,0,2024-10-27,2024,10,Q4,Arizona,West
56996,Female,70,1,28.0,0,1-2 Year,No,43986.0,26.0,280,0,2024-01-18,2024,1,Q1,Arizona,West
138724,Male,24,1,25.0,1,< 1 Year,No,36570.0,152.0,250,0,2024-12-16,2024,12,Q4,Arizona,West
323948,Female,24,1,22.0,1,< 1 Year,No,19220.0,152.0,133,0,2024-11-27,2024,11,Q4,Arizona,West
284496,Male,51,1,47.0,1,1-2 Year,No,28465.0,152.0,132,0,2024-11-10,2024,11,Q4,Arizona,West
8481,Female,26,1,50.0,1,< 1 Year,No,25738.0,152.0,60,0,2024-02-17,2024,2,Q1,Arizona,West
197947,Male,44,1,50.0,0,1-2 Year,Yes,2630.0,156.0,275,0,2024-07-12,2024,7,Q3,Arizona,West
336397,Female,56,1,28.0,0,> 2 Years,Yes,2630.0,122.0,161,0,2024-08-22,2024,8,Q3,Arizona,West
208334,Male,27,1,28.0,0,1-2 Year,Yes,57968.0,155.0,23,0,2024-04-02,2024,4,Q2,Arizona,West
39107,Male,58,1,47.0,0,1-2 Year,Yes,26350.0,26.0,84,0,2024-06-13,2024,6,Q2,Arizona,West
68412,Male,49,1,47.0,0,1-2 Year,Yes,40778.0,124.0,253,0,2024-07-31,2024,7,Q3,Arizona,West
353478,Female,39,1,9.0,0,1-2 Year,Yes,25703.0,26.0,263,0,2024-08-25,2024,8,Q3,Arizona,West
324402,Female,60,1,28.0,1,1-2 Year,No,77170.0,52.0,58,0,2024-02-06,2024,2,Q1,Arizona,West
190069,Male,26,1,3.0,1,< 1 Year,No,25401.0,26.0,142,0,2024-08-27,2024,8,Q3,Arizona,West
185491,Male,22,1,32.0,1,< 1 Year,No,42826.0,152.0,298,0,2024-04-24,2024,4,Q2,Arizona,West
4074,Male,73,1,28.0,0,1-2 Year,No,45643.0,26.0,165,0,2024-03-15,2024,3,Q1,Arizona,West
66834,Male,61,1,46.0,0,1-2 Year,No,2630.0,124.0,42,0,2024-01-08,2024,1,Q1,Arizona,West
244970,Male,24,1,28.0,1,< 1 Year,No,29304.0,152.0,249,0,2024-03-22,2024,3,Q1,Arizona,West
302043,Male,49,1,36.0,0,1-2 Year,Yes,29199.0,26.0,51,0,2024-11-14,2024,11,Q4,Arizona,West
92730,Male,21,1,41.0,0,< 1 Year,Yes,27959.0,152.0,146,0,2024-05-30,2024,5,Q2,Arizona,West
354380,Male,25,1,36.0,0,< 1 Year,Yes,31362.0,152.0,21,0,2024-06-01,2024,6,Q2,Arizona,West
318045,Male,63,1,28.0,0,1-2 Year,Yes,38630.0,13.0,29,0,2024-01-20,2024,1,Q1,Arizona,West
211202,Female,22,1,36.0,1,< 1 Year,No,30031.0,152.0,223,0,2024-04-19,2024,4,Q2,Arizona,West
2328,Male,39,1,24.0,1,1-2 Year,No,31067.0,145.0,11,0,2024-07-28,2024,7,Q3,Arizona,West
